err|fields.role|filename|lineno|@timestamp
b'[11:37:48] src/objective/regression_obj.cc:90: Check failed: (preds.size()) == (info.labels.size()) labels are not correctly providedpreds.size=0, label.size=79'|nan|base_worker.py|80|2019-10-18T03:37:49.724Z
'time'|nan|train_helper.py|163|2019-10-24T09:31:02.113Z
Error tokenizing data. C error: out of memory|nan|train_helper.py|491|2020-01-02T11:39:48.375Z
train_result_not_exist|nan|model_manager_main.py|237|2019-08-02T03:36:58.576Z
job_progress: 0.5  has type JobProgress, but expected one of: int, long, float|nan|model_manager_main.py|380|2019-11-15T02:27:46.693Z
Variable rnn/multi_rnn_cell/cell_0/basic_lstm_cell/weights already exists, disallowed. Did you mean to set reuse=True in VarScope? Originally defined at:    File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/contrib/rnn/python/ops/core_rnn_cell_impl.py", line 1044, in _linear     _WEIGHTS_VARIABLE_NAME, [total_arg_size, output_size], dtype=dtype)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/contrib/rnn/python/ops/core_rnn_cell_impl.py", line 241, in __call__     concat = _linear([inputs, h], 4 * self._num_units, True)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/contrib/rnn/python/ops/core_rnn_cell_impl.py", line 713, in __call__     output, new_state = self._cell(inputs, state, scope) |nan|predict_helper.py|75|2019-10-17T06:37:59.973Z
Base model list is empty|nan|predict_helper.py|75|2019-10-20T08:04:11.458Z
Filedname(=MAB000A1AC002AF02) not in field_name_mapping|nan|predict_helper.py|114|2019-11-15T02:33:18.522Z
The update path 'serving_info.' contains an empty field name, which is not allowed.|nan|base_worker.py|80|2019-10-11T09:10:18.170Z
No columns to parse from file|nan|base_worker.py|80|2019-10-12T02:38:32.048Z
model_info_not_exist|nan|base_worker.py|80|2019-11-28T11:49:57.194Z
(500) Reason: Internal Server Error HTTP response headers: HTTPHeaderDict({'Content-Type': 'application/json', 'Date': 'Tue, 31 Dec 2019 04:00:54 GMT', 'Content-Length': '245'}) HTTP response body: {"kind":"Status","apiVersion":"v1","metadata":{},"status":"Failure","message":"Internal error occurred: resource quota evaluates timeout","reason":"InternalError","details":{"causes":[{"message":"resource quota evaluates timeout"}]},"code":500}  |nan|serving_worker.py|152|2019-12-31T04:00:55.247Z
Parent directory of hdfs://hadoop.master.orion.lan:8020/autodeep/jobs/air-four##da3db180-f0bb-11e9-9c53-4ad36f4f5861/model/model##air-four##da3db180-f0bb-11e9-9c53-4ad36f4f5861/round_1/air-four doesn't exist, can't save.|nan|train_helper.py|163|2019-10-17T08:55:28.537Z
Error tokenizing data. C error: out of memory|nan|train_helper.py|440|2020-01-02T11:46:38.962Z
'Series' object has no attribute 'reshape'|nan|train_helper.py|376|2019-08-01T11:11:34.462Z
'Series' object has no attribute 'reshape'|nan|train_helper.py|376|2019-08-02T02:26:38.430Z
train_result_not_exist|nan|model_manager_main.py|237|2019-08-02T03:34:58.574Z
job_progress: 0.5  has type JobProgress, but expected one of: int, long, float|nan|model_manager_main.py|380|2019-11-15T02:26:06.689Z
model_info_not_exist|nan|model_manager_main.py|235|2019-11-29T02:36:24.014Z
model_info_not_exist|nan|base_worker.py|80|2019-11-11T10:18:31.374Z
mean_squared_error() got an unexpected keyword argument 'logits'|nan|train_helper.py|163|2019-10-19T08:35:57.803Z
Dimension must be 2 but is 3 for 'rnn_layer01/transpose' (op: 'Transpose') with input shapes: [?,0], [3].|nan|train_helper.py|163|2019-10-23T10:46:22.865Z
'time'|nan|train_helper.py|163|2019-10-24T09:31:02.100Z
Error tokenizing data. C error: out of memory|nan|train_helper.py|168|2020-01-02T11:39:48.471Z
'Series' object has no attribute 'reshape'|nan|base_worker.py|79|2019-08-02T02:26:38.447Z
job_progress: 0.5  has type JobProgress, but expected one of: int, long, float|nan|model_manager_main.py|380|2019-11-15T02:26:56.685Z
train_job_not_exist|nan|model_manager_main.py|414|2019-12-02T03:34:45.092Z
model_info_not_exist|nan|model_manager_main.py|235|2020-01-02T08:14:49.634Z
Variable rnn/multi_rnn_cell/cell_0/basic_lstm_cell/weights already exists, disallowed. Did you mean to set reuse=True in VarScope? Originally defined at:    File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/contrib/rnn/python/ops/core_rnn_cell_impl.py", line 1044, in _linear     _WEIGHTS_VARIABLE_NAME, [total_arg_size, output_size], dtype=dtype)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/contrib/rnn/python/ops/core_rnn_cell_impl.py", line 241, in __call__     concat = _linear([inputs, h], 4 * self._num_units, True)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/contrib/rnn/python/ops/core_rnn_cell_impl.py", line 713, in __call__     output, new_state = self._cell(inputs, state, scope) |nan|predict_helper.py|75|2019-10-17T06:47:27.346Z
'time'|nan|predict_helper.py|113|2019-10-18T06:48:43.870Z
model_info_not_exist|nan|base_worker.py|80|2019-10-11T06:17:14.177Z
No columns to parse from file|nan|base_worker.py|80|2019-10-12T02:36:10.267Z
(404) Reason: Not Found HTTP response headers: HTTPHeaderDict({'Content-Type': 'application/json', 'Date': 'Thu, 02 Jan 2020 08:01:15 GMT', 'Content-Length': '280'}) HTTP response body: {"kind":"Status","apiVersion":"v1","metadata":{},"status":"Failure","message":"deployments.apps \"serving-e08996a0-ymjsadurafdekema9qaksr\" not found","reason":"NotFound","details":{"name":"serving-e08996a0-ymjsadurafdekema9qaksr","group":"apps","kind":"deployments"},"code":404}  |nan|serving_worker.py|185|2020-01-02T08:01:15.589Z
Dimension must be 2 but is 3 for 'rnn_layer01/transpose' (op: 'Transpose') with input shapes: [?,0], [3].|nan|base_worker.py|80|2019-10-14T09:15:44.936Z
Found array with 0 sample(s) (shape=(0, 0)) while a minimum of 1 is required.|nan|train_helper.py|163|2019-10-18T03:37:54.344Z
Error tokenizing data. C error: out of memory|nan|train_helper.py|440|2020-01-02T11:39:48.470Z
Error tokenizing data. C error: out of memory|nan|train_helper.py|490|2020-01-03T07:25:35.793Z
'Series' object has no attribute 'reshape'|nan|train_helper.py|423|2019-08-01T11:04:17.557Z
train_job_not_exist|nan|model_manager_main.py|377|2019-08-01T11:11:30.215Z
train_result_not_exist|nan|model_manager_main.py|237|2019-08-02T03:35:48.602Z
job_progress: 0.5  has type JobProgress, but expected one of: int, long, float|nan|model_manager_main.py|380|2019-11-15T02:26:31.689Z
Attempting to use uninitialized value output/biases 	 [[Node: output/biases/read = Identity[T=DT_FLOAT, _class=["loc:@output/biases"], _device="/job:localhost/replica:0/task:0/cpu:0"](output/biases)]]  Caused by op 'output/biases/read', defined at:   File "/home/liuqw/.pycharm_helpers/pydev/pydevd.py", line 1664, in <module>     main()   File "/home/liuqw/.pycharm_helpers/pydev/pydevd.py", line 1658, in main     globals = debugger.run(setup['file'], None, None, is_module)   File "/home/liuqw/.pycharm_helpers/pydev/pydevd.py", line 1068, in run     pydev_imports.execfile(file, globals, locals)  # execute the script   File "/home/liuqw/.pycharm_helpers/pydev/_pydev_imps/_pydev_execfile.py", line 18, in execfile     exec(compile(contents+"\n", file, 'exec'), glob, loc)   File "/home/liuqw/workspace/phoenix/main/predict_worker_main.py", line 45, in <module>     main(sys.argv)   File "/home/liuqw/workspace/phoenix/main/predict_worker_main.py", line 41, in main     predict_worker.do_work_loop()   File "/home/liuqw/workspace/phoenix/engine/worker/base_worker.py", line 68, in do_work_loop     job_result = self._do_job_internal(job)   File "/home/liuqw/workspace/phoenix/engine/worker/predict/predict_worker.py", line 47, in _do_job_internal     self.__predict_helper.do_predict_job_loop(model_instance)   File "/home/liuqw/workspace/phoenix/engine/worker/predict/predict_helper.py", line 69, in do_predict_job_loop     next(predict_controller)   File "/home/liuqw/workspace/phoenix/predictor/tensorflow_predictor.py", line 45, in predict     self.__net_output = self._load_model()   File "/home/liuqw/workspace/phoenix/predictor/tensorflow_predictor.py", line 77, in _load_model     self.__feature_ph, self.__model_schema, self.__keep_pro_ph_dict)   File "/home/liuqw/workspace/phoenix/trainer/tensorflow/tf_helper.py", line 597, in create_model     output_layer = layer_creator(TFHelper, pre_output, layer_schema)   File "/home/liuqw/workspace/phoenix/trainer/tensorflow/tf_helper.py", line 137, in create_full_connected_layer     name="biases")   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/ops/variables.py", line 197, in __init__     expected_shape=expected_shape)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/ops/variables.py", line 316, in _init_from_args     self._snapshot = array_ops.identity(self._variable, name="read")   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/ops/gen_array_ops.py", line 1338, in identity     result = _op_def_lib.apply_op("Identity", input=input, name=name)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/framework/op_def_library.py", line 768, in apply_op     op_def=op_def)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/framework/ops.py", line 2336, in create_op     original_op=self._default_original_op, op_def=op_def)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/framework/ops.py", line 1228, in __init__     self._traceback = _extract_stack()  FailedPreconditionError (see above for traceback): Attempting to use uninitialized value output/biases 	 [[Node: output/biases/read = Identity[T=DT_FLOAT, _class=["loc:@output/biases"], _device="/job:localhost/replica:0/task:0/cpu:0"](output/biases)]] |nan|predict_helper.py|113|2019-10-17T06:34:02.894Z
invalid literal for int() with base 10: 'B'|nan|predict_helper.py|113|2019-10-19T10:18:47.669Z
predictor_is_not_init.|nan|predict_helper.py|113|2019-10-20T08:04:11.467Z
too many indices for array|nan|predict_helper.py|114|2019-11-11T08:36:23.251Z
(404) Reason: Not Found HTTP response headers: HTTPHeaderDict({'Content-Type': 'application/json', 'Date': 'Fri, 11 Oct 2019 09:49:10 GMT', 'Content-Length': '292'}) HTTP response body: {"kind":"Status","apiVersion":"v1","metadata":{},"status":"Failure","message":"deployments.apps \"serving-sv-credit-card-z3thadytunbuod5jccvyrl\" not found","reason":"NotFound","details":{"name":"serving-sv-credit-card-z3thadytunbuod5jccvyrl","group":"apps","kind":"deployments"},"code":404}  |nan|serving_worker.py|200|2019-10-11T09:49:10.225Z
unknown covert type TYPE_UNKNOWN|nan|base_worker.py|80|2019-10-29T03:45:24.075Z
'NoneType' object has no attribute 'decode'|nan|base_worker.py|80|2019-10-31T09:52:02.315Z
Received a label value of 1 which is outside the valid range of [0, 1).  Label values: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 	 [[Node: TYPE_SPARSE_SOFTMAX_XENTROPY/TYPE_SPARSE_SOFTMAX_XENTROPY = SparseSoftmaxCrossEntropyWithLogits[T=DT_FLOAT, Tlabels=DT_INT32, _device="/job:localhost/replica:0/task:0/cpu:0"](dropout/mul, Squeeze)]]  Caused by op 'TYPE_SPARSE_SOFTMAX_XENTROPY/TYPE_SPARSE_SOFTMAX_XENTROPY', defined at:   File "train_worker_main.py", line 50, in <module>     main(sys.argv)   File "train_worker_main.py", line 46, in main     train_worker.do_work_loop()   File "/home/liuqw/workspace/phoenix/engine/worker/base_worker.py", line 68, in do_work_loop     job_result = self._do_job_internal(job)   File "/home/liuqw/workspace/phoenix/engine/worker/train/train_worker.py", line 96, in _do_job_internal     func=train_helper.do_train_job, train_result=train_result_dict)   File "/home/liuqw/workspace/phoenix/base/runtime_watcher.py", line 92, in __call__     sub_process.start()   File "/home/liuqw/.pyenv/versions/3.6.5/lib/python3.6/multiprocessing/process.py", line 105, in start     self._popen = self._Popen(self)   File "/home/liuqw/.pyenv/versions/3.6.5/lib/python3.6/multiprocessing/context.py", line 223, in _Popen     return _default_context.get_context().Process._Popen(process_obj)   File "/home/liuqw/.pyenv/versions/3.6.5/lib/python3.6/multiprocessing/context.py", line 277, in _Popen     return Popen(process_obj)   File "/home/liuqw/.pyenv/versions/3.6.5/lib/python3.6/multiprocessing/popen_fork.py", line 19, in __init__     self._launch(process_obj)   File "/home/liuqw/.pyenv/versions/3.6.5/lib/python3.6/multiprocessing/popen_fork.py", line 73, in _launch     code = process_obj._bootstrap()   File "/home/liuqw/.pyenv/versions/3.6.5/lib/python3.6/multiprocessing/process.py", line 258, in _bootstrap     self.run()   File "/home/liuqw/.pyenv/versions/3.6.5/lib/python3.6/multiprocessing/process.py", line 93, in run     self._target(*self._args, **self._kwargs)   File "/home/liuqw/workspace/phoenix/base/runtime_watcher.py", line 79, in __fun_wrapper     ret_val = func(*args, **kwargs)   File "/home/liuqw/workspace/phoenix/engine/worker/train/train_helper.py", line 146, in do_train_job     train_loop_result, split_plan.round_id)   File "/home/liuqw/workspace/phoenix/engine/worker/train/train_helper.py", line 290, in __do_train_loop     next(train_controller)   File "/home/liuqw/workspace/phoenix/trainer/tensorflow/netmodel_trainer.py", line 61, in train     loss = self.__loss(net_output, self.__label_ph)   File "/home/liuqw/workspace/phoenix/trainer/tensorflow/netmodel_trainer.py", line 201, in __loss     label, logits, loss_type, self.__target_type)   File "/home/liuqw/workspace/phoenix/trainer/tensorflow/tf_helper.py", line 360, in calculate_loss     return model_loss_fn(cls, labels, predictions, loss_type)   File "/home/liuqw/workspace/phoenix/trainer/tensorflow/tf_helper.py", line 368, in create_classify_loss     name=LossFunType.Type.Name(loss_type))   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/ops/nn_ops.py", line 1742, in sparse_softmax_cross_entropy_with_logits     precise_logits, labels, name=name)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/ops/gen_nn_ops.py", line 2418, in _sparse_softmax_cross_entropy_with_logits     features=features, labels=labels, name=name)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/framework/op_def_library.py", line 768, in apply_op     op_def=op_def)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/framework/ops.py", line 2336, in create_op     original_op=self._default_original_op, op_def=op_def)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/framework/ops.py", line 1228, in __init__     self._traceback = _extract_stack()  InvalidArgumentError (see above for traceback): Received a label value of 1 which is outside the valid range of [0, 1).  Label values: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 	 [[Node: TYPE_SPARSE_SOFTMAX_XENTROPY/TYPE_SPARSE_SOFTMAX_XENTROPY = SparseSoftmaxCrossEntropyWithLogits[T=DT_FLOAT, Tlabels=DT_INT32, _device="/job:localhost/replica:0/task:0/cpu:0"](dropout/mul, Squeeze)]] |nan|train_helper.py|163|2019-10-19T08:50:13.299Z
b'[18:46:16] src/objective/regression_obj.cc:90: Check failed: (preds.size()) == (info.labels.size()) labels are not correctly providedpreds.size=0, label.size=86'|nan|train_helper.py|163|2019-10-23T10:46:23.148Z
Error tokenizing data. C error: out of memory|nan|train_helper.py|168|2020-01-02T11:46:38.963Z
Error tokenizing data. C error: out of memory|nan|train_helper.py|440|2020-01-03T07:25:35.806Z
train_job_not_exist|nan|model_manager_main.py|414|2019-11-29T02:49:03.563Z
predictor_is_not_init.|nan|predict_helper.py|113|2019-10-17T06:47:27.350Z
Attempting to use uninitialized value rnn/multi_rnn_cell/cell_1/basic_lstm_cell/weights 	 [[Node: rnn/multi_rnn_cell/cell_1/basic_lstm_cell/weights/read = Identity[T=DT_FLOAT, _device="/job:localhost/replica:0/task:0/cpu:0"](rnn/multi_rnn_cell/cell_1/basic_lstm_cell/weights)]]  Caused by op 'rnn/multi_rnn_cell/cell_1/basic_lstm_cell/weights/read', defined at:   File "/home/liuqw/.pycharm_helpers/pydev/pydevd.py", line 1664, in <module>     main()   File "/home/liuqw/.pycharm_helpers/pydev/pydevd.py", line 1658, in main     globals = debugger.run(setup['file'], None, None, is_module)   File "/home/liuqw/.pycharm_helpers/pydev/pydevd.py", line 1068, in run     pydev_imports.execfile(file, globals, locals)  # execute the script   File "/home/liuqw/.pycharm_helpers/pydev/_pydev_imps/_pydev_execfile.py", line 18, in execfile     exec(compile(contents+"\n", file, 'exec'), glob, loc)   File "/home/liuqw/workspace/phoenix/main/predict_worker_main.py", line 45, in <module>     main(sys.argv)   File "/home/liuqw/workspace/phoenix/main/predict_worker_main.py", line 41, in main     predict_worker.do_work_loop()   File "/home/liuqw/workspace/phoenix/engine/worker/base_worker.py", line 68, in do_work_loop     job_result = self._do_job_internal(job)   File "/home/liuqw/workspace/phoenix/engine/worker/predict/predict_worker.py", line 47, in _do_job_internal     self.__predict_helper.do_predict_job_loop(model_instance)   File "/home/liuqw/workspace/phoenix/engine/worker/predict/predict_helper.py", line 69, in do_predict_job_loop     next(predict_controller)   File "/home/liuqw/workspace/phoenix/predictor/tensorflow_predictor.py", line 47, in predict     self.__net_output = self._load_model()   File "/home/liuqw/workspace/phoenix/predictor/tensorflow_predictor.py", line 71, in _load_model     self.__feature_ph, self.__model_schema, self.__keep_pro_ph_dict)   File "/home/liuqw/workspace/phoenix/trainer/tensorflow/tf_helper.py", line 597, in create_model     output_layer = layer_creator(TFHelper, pre_output, layer_schema)   File "/home/liuqw/workspace/phoenix/trainer/tensorflow/tf_helper.py", line 285, in create_rnn_layer     params, dtype=tf.float32)   File "/home/liuqw/workspace/phoenix/trainer/tensorflow/tf_helper.py", line 456, in create_rnn_fun     multi_rnn_cell, input_ph, dtype=dtype, **params)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/ops/rnn.py", line 553, in dynamic_rnn     dtype=dtype)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/ops/rnn.py", line 720, in _dynamic_rnn_loop     swap_memory=swap_memory)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/ops/control_flow_ops.py", line 2623, in while_loop     result = context.BuildLoop(cond, body, loop_vars, shape_invariants)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/ops/control_flow_ops.py", line 2456, in BuildLoop     pred, body, original_loop_vars, loop_vars, shape_invariants)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/ops/control_flow_ops.py", line 2406, in _BuildLoop     body_result = body(*packed_vars_for_body)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/ops/rnn.py", line 705, in _time_step     (output, new_state) = call_cell()   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/ops/rnn.py", line 691, in <lambda>     call_cell = lambda: cell(input_t, state)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/contrib/rnn/python/ops/core_rnn_cell_impl.py", line 953, in __call__     cur_inp, new_state = cell(cur_inp, cur_state)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/contrib/rnn/python/ops/core_rnn_cell_impl.py", line 713, in __call__     output, new_state = self._cell(inputs, state, scope)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/contrib/rnn/python/ops/core_rnn_cell_impl.py", line 241, in __call__     concat = _linear([inputs, h], 4 * self._num_units, True)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/contrib/rnn/python/ops/core_rnn_cell_impl.py", line 1044, in _linear     _WEIGHTS_VARIABLE_NAME, [total_arg_size, output_size], dtype=dtype)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/ops/variable_scope.py", line 1049, in get_variable     use_resource=use_resource, custom_getter=custom_getter)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/ops/variable_scope.py", line 948, in get_variable     use_resource=use_resource, custom_getter=custom_getter)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/ops/variable_scope.py", line 356, in get_variable     validate_shape=validate_shape, use_resource=use_resource)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/ops/variable_scope.py", line 341, in _true_getter     use_resource=use_resource)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/ops/variable_scope.py", line 714, in _get_single_variable     validate_shape=validate_shape)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/ops/variables.py", line 197, in __init__     expected_shape=expected_shape)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/ops/variables.py", line 313, in _init_from_args     self._snapshot = array_ops.identity(self._variable, name="read")   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/ops/gen_array_ops.py", line 1338, in identity     result = _op_def_lib.apply_op("Identity", input=input, name=name)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/framework/op_def_library.py", line 768, in apply_op     op_def=op_def)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/framework/ops.py", line 2336, in create_op     original_op=self._default_original_op, op_def=op_def)   File "/home/liuqw/.pyenv/versions/env_phoenix/lib/python3.6/site-packages/tensorflow/python/framework/ops.py", line 1228, in __init__     self._traceback = _extract_stack()  FailedPreconditionError (see above for traceback): Attempting to use uninitialized value rnn/multi_rnn_cell/cell_1/basic_lstm_cell/weights 	 [[Node: rnn/multi_rnn_cell/cell_1/basic_lstm_cell/weights/read = Identity[T=DT_FLOAT, _device="/job:localhost/replica:0/task:0/cpu:0"](rnn/multi_rnn_cell/cell_1/basic_lstm_cell/weights)]] |nan|predict_helper.py|113|2019-10-18T04:53:13.888Z
model_info_not_exist|nan|base_worker.py|80|2019-10-31T10:41:28.307Z
model_info_not_exist|nan|base_worker.py|80|2019-11-28T09:39:01.519Z
Dimension must be 2 but is 3 for 'rnn_layer01/transpose' (op: 'Transpose') with input shapes: [?,0], [3].|nan|base_worker.py|80|2019-10-14T09:38:23.607Z
'time'|nan|base_worker.py|80|2019-10-24T09:31:02.120Z
Error tokenizing data. C error: out of memory|nan|base_worker.py|80|2020-01-02T11:46:38.974Z
'Series' object has no attribute 'reshape'|nan|train_helper.py|423|2019-08-01T11:11:34.441Z
train_result_not_exist|nan|model_manager_main.py|237|2019-08-02T03:38:38.574Z
predictor_is_not_init.|nan|predict_helper.py|113|2019-10-17T06:45:22.133Z
model_info_not_exist|nan|base_worker.py|80|2019-11-13T08:59:13.353Z
